,Date,UserName,Location,stars,Message
0,5/28/2017,Tim M.,birmingham-2,5,"This is Birmingham's version of Nashville's Las Paletas..... except these could be better than Las Paletas! And they are a great value!Steel City Pops is by far the best dessert joint that I will try this year. The popsicles are good size and basically fills your whole mouth and they are served firm enough that you can sit there, lick, and salivate for 10 solid minutes on a single popsicle.Flavors - this is where they take creativity to the next level: Avocado, Pineapple jalapeno, Pistachio, and the list goes on. In 1 day, I had the pineapple jalapeno, cookies & creme, strawberry lemonade and loved them all.If I went to Las Paletas in Nashville, I would probably pay 10% more to get 15-20% less product."
1,8/16/2017,Kayla S.,birmingham-2,5,"I LOVEEEEE Steel City Pops! It's like you're having a treat but not eating too horribly. The location on 280 and the one in Homewood are both very convenient for me with one being close to my work and the other close to home. I've had great experiences at the 280 location. Whoever's working is always super nice and quick! My favorite flavor is the Avocado and my least favorite is the Pineapple Jalapeno. I know you're thinking, ""Avocado?! Seriously???"", but you HAVE to give it a chance! It's a creamy, citrusy and sweet pop that is very satisfying. I didn't like the Pineapple Jalapeno because there was just wayyyy too much heat on the end but then again if you really like heat, then you'll love that!"
2,5/2/2016,Lisa H.,birmingham-2,5,"Where else in The Ham can you buy frozen confections out of a spaceship-like recreational vehicle? The fourth store that opened, the Highway 280 location is definitely the most unique Steel City Pops for sure. Beyond coolness. And there's even a drive-thru. Steel City Pops, please come to Atlanta; I'd pick you over King of Pops any day.I love how the SCP team is always coming up with new flavors. Personally, I think the more innovative ones are the winter flavors, but summer is always great too. I finally tried a cookie pop ($4.50) for the first time during this visit. It was a brownie frozen into a chocolate pop. So yummy and fudge-y, you won't even be able to tell that it's all gluten-free. The other folks in my party went fruity and got blackberry, blood orange, lavender lemonade (a new offering), lime, and raspberry lemonade ($3 each). No complains from anyone, just content slurping, even though I assured them they could swap flavors if they really despised their selections.Some drawbacks to this location is that there only appears to be one person working, and there is no indoor seating. There is a small discount if you buy four pops. Check the SCP website to get an idea of what flavors are available and for nutritional information. Don't forget to get your Frequent Buyer Card punched so you can earn a free pop!"
3,9/17/2016,Justin W.,birmingham-2,5,"100% worth it. I was a doubter the first time. Then I wised up and realized these popsicles are so delicious. I generally go with creamy, and often a cookie version because I like those types. Any fruit ones I have tried are also good. They put the legit fruits and foods in these; not some engineered flavors. It's goodness."
4,12/13/2016,April D.,birmingham-2,5,"Love Steel City...  I just stopped by last night & got a 4 pack.  My favorite flavors are Avocado Lime in the summer which is Key Lime Pie if you close your eyes... Peanut Butter, Coffee, Pumpkin Pie, Carrot Cake, Chocolate Mint, Pistachio...   Yum!!!  My wallet feels lighter after I pay ... they are not cheap, people!!!  But I do it.  They are so yummy."
5,9/28/2016,Jamie S.,birmingham-2,5,I love all of the pops and the staff is always friendly and ready to serve  with a smile I get bags of 4 such a sweet treat!!
6,7/29/2016,Tiffany W.,birmingham-2,5,"Drove by their Airstream trailer several times before stopping to check it out.  Glad I did - charming Popsicle stand with lots of classic and upscale flavors, and quality ingredients.  I thoroughly enjoyed my peach cream pop. Can't wait to try more of their flavors!"
7,9/20/2016,Brandy D.,birmingham-2,5,My office loves taking a mid-afternoon break and going to the 280 location near Greystone. Yum!
8,5/11/2016,Hailey S.,birmingham-2,5,Such a good Popsicles!!! All flavors are very authentic and true to their names! Highly recommended. The best are raspberry lemon and coconut
9,8/8/2015,William R.,birmingham-2,5,Calling these popsicles doesn't do them justice. These are so good and we love the the variety of gourmet flavors! The buttermilk flavor is so good out of the creamy flavors along with strawberry lemonade out of the fruit ones. The chocolate chip vanilla cookie pop is by far the best in our opinion. It was like cookie dough wrapped in creamy vanilla flavor. We were familiar with steel city pops from living in Fort Worth so it was nice to discover them on a road trip through Alabama.
10,6/22/2016,Wes H.,birmingham-2,5,"Absolutely one of our favorite places to get a treat. They use the highest quality ingredients, and the staff is always friendly and helpful. I love how they change flavors according to what's in season, besides their staple flavors which they have year-round. Best popsicles I've ever had!"
11,3/31/2015,Casey W.,birmingham-2,5,"This place is so cute! I took my sister here yesterday to grab a Popsicle and we both kept talking about what a good idea it was, especially for the coming summer. I had passion fruit and she had strawberry lemon. Both were listed as under 100 calories and were very tasty. Very neat place."
12,3/15/2015,Tiffany G.,birmingham-2,5,Drive thru Popsicles... What more can you ask for?  I love this place!  The Pineapple Jalapeño and Cucumber Lime flavors taste like Heaven.  Yummers!!!
13,7/18/2014,Shelby R.,birmingham-2,5,"I was told by a friend that I had to stop here, and I am sooo glad I did! Who would have thought a Popsicle business could be so popular. It was so hard to decide what  flavor I wanted. Do I want pineapple or chocolate? Avocado or orange? Buttermilk or coconut? Blueberry basil or peanut butter? Peanut Butter! And I was soo glad I did! It was the best Popsicle I have ever had and you can quickly tell that it is made with fresh ingredients. They have fruity flavors like Blood Orange, Pineapple, Strawberry Sour Cream, and Blue Berry Basil. They also have creamy flavors like Avacado, Peanut Butter, Caramel, and Coconut. They regularly have new flavors. I can not wait to go back and try some more! This is a must stop place, and they have a drive thru!"
14,4/18/2015,Michael C.,birmingham-2,5,"Good ice pops with a drive through , what else could I rate it. Glad to have it here in the summer time"
15,6/2/2015,Mary J.,birmingham-2,5,What a fun place! An Airstream trailer outfitted as a popcicle shop. Flavors are numerous and interesting. I had a Maypaw pop--whatever that is. And is was scrumptious. A little sweet and a little tart and very refreshing. Husband had a blackberry pop and it tasted like berries just pick off the vine. Conveniently located. Easy to get to. and very friendly staff.
16,6/24/2017,Kat C.,birmingham,5,"What a great find! This place was awesome. Locally made.  Friendly staff. Unique flavors and traditional flavors as well. I had avocado and it was amazing! My sons had Watermelon and another had Chocolate. They were also great - I snuck a bite ;-). At $3 a pop, it isn't cheap, but the flavor and all natural ingredients are worth the price."
